Model,rep,rTr,rTs
RxnNormMDs,1,0.999754689288413,0.714560273430572
RxnNormMDs,5,0.999745454503229,0.749963685161362
BaselineMM,1,0.350849798342934,0.107556941120396
BaselineMM,3,0.35339172140405,0.10898421128953
BaselineMM,10,0.368527222114998,0.0770234681306603
EMDs,1,0.999808055934434,0.750004758452841
EMDs,4,0.999793581519362,0.7643064934594
EMDs,10,0.999791194431769,0.786139574318041
EMDs,9,0.999793663246136,0.775647469995492
EMDs,3,0.999809468789684,0.745830295384141
RxnNormMDs,2,0.999804460161219,0.778818889778676
RxnNormMDs,1,0.999828489113294,0.724806102024028
RxnNormMDs,9,0.999811991921823,0.758321591688409
RxnNormMDs,10,0.999809840345883,0.774158213066658
RxnNormMDs,3,0.999829192081683,0.730050410626975
BaselineMM,2,0.362995342305219,0.0769578347688221
BaselineMM,8,0.361267181325905,0.106602455378651
BaselineMM,7,0.354325556422053,0.132463924916582
BaselineMM,4,0.359108966719718,0.0889075298145927
BaselineMM,5,0.351443018443685,0.124631082870711
BaselineMM,6,0.336878356574409,0.147829011713405
BaselineMM,9,0.360953617130105,0.107433103592248
RxnNormMDs,4,0.999793604491056,0.744633485597645
RxnNormMDs,8,0.999807563749682,0.756207062759713
RxnNormMDs,6,0.999810289202723,0.751310744649261
EMDs,7,0.999805742866701,0.800868712133514
EMDs,5,0.999810174957677,0.769727827989698
EMDs,6,0.999797586293417,0.769440127189932
EMDs,8,0.999801083306688,0.774778422347173
RxnNormMDs,7,0.99982344405762,0.789802810124169
EMDs,2,0.999802222687002,0.795238721435305
RxnNormMDs,5,0.999805642287067,0.76210575002792
BaselineMM,5,0.350184236720289,0.126111037866546
BaselineMM,10,0.368686128466371,0.0761999922347524
BaselineMM,1,0.349649380805364,0.108647917055607
BaselineMM,4,0.359133067701096,0.0887020783251154
BaselineMM,2,0.362844334479405,0.0787341844988207
BaselineMM,8,0.360378896920591,0.107046809923882
BaselineMM,3,0.352743053534241,0.110662966734376
BaselineMM,6,0.336249186849747,0.146180644109507
BaselineMM,7,0.354970495222288,0.130999397695172
BaselineMM,9,0.361604615421522,0.109540843555307
EMDs,2,0.999800094129592,0.793543080125584
EMDs,6,0.999793448314385,0.76659485573176
EMDs,5,0.999799817229738,0.770071759009214
EMDs,7,0.999806490975384,0.799181569352931
EMDs,10,0.999803142475302,0.786313347384486
RxnNormMDs,10,0.999815062021585,0.774131240668144
RxnNormMDs,9,0.999809704477312,0.757610979014356
RxnNormMDs,7,0.999831856070059,0.787180929025506
EMDs,8,0.999782639743463,0.773692391310969
EMDs,3,0.999803907237654,0.742944258481824
EMDs,9,0.99978763745905,0.772535356867102
EMDs,4,0.999796658918935,0.757926010830787
EMDs,1,0.999814517410024,0.748499185183003
RxnNormMDs,1,0.999836705532008,0.724870721486936
RxnNormMDs,4,0.999814481079003,0.748140479488189
RxnNormMDs,5,0.999833920989431,0.750574463534678
RxnNormMDs,3,0.999830303916323,0.731270099280957
RxnNormMDs,6,0.999806486784118,0.752993527153263
RxnNormMDs,8,0.999816015734262,0.754822212928613
RxnNormMDs,2,0.999824732860222,0.783042582944097
BaselineMM,4,0.358449218800729,0.0878898594400677
BaselineMM,1,0.351974809447942,0.0998463100999852
BaselineMM,8,0.360167445501684,0.108008959059024
EMDs,8,0.9997145827069,0.757912907346123
BaselineMM,10,0.367103744850485,0.0796451445103128
BaselineMM,3,0.351182971161344,0.118870934140597
BaselineMM,7,0.351433239965161,0.132420937397549
BaselineMM,5,0.350218179309403,0.119862187180717
BaselineMM,6,0.335845941235525,0.14330335740575
BaselineMM,2,0.360131242874534,0.0810583919499874
BaselineMM,9,0.35908773305027,0.110453019067376
EMDs,9,0.999722954962277,0.764357880777952
EMDs,5,0.999713314215665,0.755761177740502
EMDs,6,0.999688202719924,0.753147651416844
EMDs,2,0.999708553762519,0.773663311208762
RxnNormMDs,3,0.999737348823552,0.70588450881567
RxnNormMDs,4,0.999750519596535,0.729193270275997
RxnNormMDs,5,0.999754594513669,0.733544728492097
EMDs,7,0.999719285348897,0.779428866522789
EMDs,1,0.999719216099305,0.735975217945085
EMDs,3,0.999725782456949,0.733747807448776
EMDs,4,0.999702292176674,0.750204270776864
EMDs,10,0.999727145505165,0.770852014415665
RxnNormMDs,1,0.999761635438097,0.718654258252034
RxnNormMDs,8,0.999749959817292,0.736082624354291
RxnNormMDs,10,0.999741331831087,0.749748288092189
RxnNormMDs,9,0.999710465255541,0.726444643042535
RxnNormMDs,6,0.999744765365114,0.73089941856804
RxnNormMDs,7,0.999718056487057,0.774978289298919
RxnNormMDs,2,0.999718953586587,0.762351468196013
BaselineMM,4,0.359252641157837,0.0856606867406853
BaselineMM,8,0.361083146368014,0.101742020761702
BaselineMM,9,0.360680218282208,0.109664454347338
BaselineMM,7,0.353209453549263,0.134650571662752
BaselineMM,1,0.348170172102572,0.106802721465669
BaselineMM,2,0.362734602577402,0.0758658618948644
BaselineMM,5,0.350846224285304,0.12691079558317
BaselineMM,3,0.348708201515417,0.116211538072594
BaselineMM,6,0.335118904552465,0.151726179417214
BaselineMM,10,0.368551120290728,0.0695220638645863
EMDs,10,0.9996969739084,0.773567876298061
EMDs,7,0.999696311722685,0.792460734257264
EMDs,9,0.999716771125543,0.76140175588783
EMDs,4,0.999699797706627,0.75925820877406
EMDs,1,0.999728538730706,0.732465016110251
EMDs,3,0.999712726809077,0.731356793640909
EMDs,5,0.999727890316867,0.749434910424067
EMDs,2,0.999714404534445,0.769937177072386
EMDs,6,0.999696526199894,0.767411710691426
EMDs,8,0.999691274086214,0.751149329612782
RxnNormMDs,3,0.999727414920606,0.699496985799757
RxnNormMDs,7,0.999770490055159,0.772006764830355
RxnNormMDs,9,0.999708741237864,0.740287853326938
RxnNormMDs,8,0.999724762868999,0.740936395757211
RxnNormMDs,6,0.999757187102851,0.731520449782125
RxnNormMDs,4,0.999698192080269,0.735287081131385
RxnNormMDs,1,0.999728075978182,0.724767492707841
RxnNormMDs,2,0.999717225461759,0.758818060711622
RxnNormMDs,5,0.999755612423815,0.725254947758813
RxnNormMDs,10,0.999713405209689,0.75462099635492
BaselineMM,5,0.351831796891999,0.121475187376997
BaselineMM,10,0.36823808711785,0.0759515785036928
BaselineMM,1,0.350510438851499,0.111289961959279
BaselineMM,7,0.354493829247927,0.135662843022093
BaselineMM,3,0.35267465983068,0.110996529817897
BaselineMM,2,0.362671779471107,0.0781179499064568
BaselineMM,4,0.358714781059301,0.0885240563486188
BaselineMM,9,0.362306856858285,0.106267192156475
BaselineMM,6,0.336504187078377,0.147212454096302
BaselineMM,8,0.360742353924718,0.106784229217731
EMDs,3,0.999809103175392,0.749315514534771
EMDs,10,0.999790890216195,0.787248016235678
EMDs,5,0.999810604079597,0.770920760282323
EMDs,6,0.999800420019337,0.771867698557594
EMDs,2,0.999787818776988,0.791547605258882
EMDs,1,0.999824700633082,0.743332080812812
EMDs,7,0.999811018585119,0.804032572335467
EMDs,9,0.99979468153027,0.771021463912126
EMDs,4,0.999793722224631,0.758691666791333
RxnNormMDs,9,0.99981111452514,0.75054920941438
EMDs,8,0.999808045396158,0.770712686565948
RxnNormMDs,5,0.999830745114542,0.752726208657143
RxnNormMDs,1,0.99983319488521,0.729666706592438
RxnNormMDs,2,0.99981377307608,0.779552208237027
RxnNormMDs,7,0.99982305103234,0.787230364495855
RxnNormMDs,10,0.999817901745144,0.771934517078343
RxnNormMDs,6,0.999805128543668,0.753498850103008
RxnNormMDs,3,0.999824580948177,0.728781888025855
RxnNormMDs,8,0.999817057129242,0.755755300117574
RxnNormMDs,4,0.999814519813071,0.74178513229367
BaselineMM,6,0.3354111383002,0.147829163655774
BaselineMM,3,0.352191410791679,0.114143771566331
BaselineMM,2,0.363623076672556,0.0756960994637853
BaselineMM,7,0.354056643149042,0.131446115677077
BaselineMM,10,0.36899615614619,0.0744804839320539
BaselineMM,1,0.350760900061639,0.106918760857546
BaselineMM,5,0.351572391924461,0.121461796098049
BaselineMM,4,0.358100734876987,0.0895873206865967
BaselineMM,9,0.360402670452276,0.112200771483262
